subjectID,trialID,type,condition,Adjtime,Looks,Experiment
1,9,color,DiffPSameN,-188,else,1b
1,9,color,DiffPSameN,-164,else,1b
1,9,color,DiffPSameN,-140,else,1b
1,9,color,DiffPSameN,-116,fill,1b
1,9,color,DiffPSameN,-92,fill,1b
1,9,color,DiffPSameN,-68,fill,1b
1,9,color,DiffPSameN,-44,fill,1b
1,9,color,DiffPSameN,-20,fill,1b
1,9,color,DiffPSameN,4,fill,1b
1,9,color,DiffPSameN,28,fill,1b
1,9,color,DiffPSameN,52,fill,1b
1,9,color,DiffPSameN,76,fill,1b
1,9,color,DiffPSameN,100,fill,1b
1,9,color,DiffPSameN,124,fill,1b
1,9,color,DiffPSameN,148,fill,1b
1,9,color,DiffPSameN,172,target,1b
1,9,color,DiffPSameN,196,target,1b
1,9,color,DiffPSameN,220,target,1b
1,9,color,DiffPSameN,244,target,1b
1,9,color,DiffPSameN,268,target,1b
1,9,color,DiffPSameN,292,target,1b
1,9,color,DiffPSameN,316,target,1b
1,9,color,DiffPSameN,340,target,1b
1,9,color,DiffPSameN,364,target,1b
1,9,color,DiffPSameN,388,target,1b
1,9,color,DiffPSameN,412,fill,1b
1,9,color,DiffPSameN,436,fill,1b
1,9,color,DiffPSameN,460,fill,1b
1,9,color,DiffPSameN,484,fill,1b
1,9,color,DiffPSameN,508,fill,1b
1,9,color,DiffPSameN,532,fill,1b
1,9,color,DiffPSameN,556,fill,1b
1,9,color,DiffPSameN,580,fill,1b
1,9,color,DiffPSameN,604,fill,1b
1,9,color,DiffPSameN,628,fill,1b
1,9,color,DiffPSameN,652,fill,1b
1,9,color,DiffPSameN,676,fill,1b
1,9,color,DiffPSameN,700,fill,1b
1,9,color,DiffPSameN,724,fill,1b
1,9,color,DiffPSameN,748,fill,1b
1,9,color,DiffPSameN,772,fill,1b
1,9,color,DiffPSameN,796,target,1b
1,9,color,DiffPSameN,820,target,1b
1,9,color,DiffPSameN,844,target,1b
1,9,color,DiffPSameN,868,target,1b
1,9,color,DiffPSameN,892,target,1b
1,9,color,DiffPSameN,916,target,1b
1,9,color,DiffPSameN,940,target,1b
1,9,color,DiffPSameN,964,target,1b
1,9,color,DiffPSameN,988,target,1b
1,9,color,DiffPSameN,1012,target,1b
1,9,color,DiffPSameN,1036,target,1b
1,9,color,DiffPSameN,1060,target,1b
1,9,color,DiffPSameN,1084,target,1b
1,9,color,DiffPSameN,1108,target,1b
1,9,color,DiffPSameN,1132,target,1b
1,9,color,DiffPSameN,1156,target,1b
1,9,color,DiffPSameN,1180,target,1b
1,9,color,DiffPSameN,1204,target,1b
1,9,color,DiffPSameN,1228,target,1b
1,9,color,DiffPSameN,1252,target,1b
1,9,color,DiffPSameN,1276,target,1b
1,9,color,DiffPSameN,1300,target,1b
1,9,color,DiffPSameN,1324,target,1b
1,9,color,DiffPSameN,1348,target,1b
1,9,color,DiffPSameN,1372,target,1b
1,9,color,DiffPSameN,1396,target,1b
1,9,color,DiffPSameN,1420,target,1b
1,9,color,DiffPSameN,1444,target,1b
1,9,color,DiffPSameN,1468,target,1b
1,9,color,DiffPSameN,1492,target,1b
1,9,color,DiffPSameN,1516,target,1b
1,9,color,DiffPSameN,1540,target,1b
1,9,color,DiffPSameN,1564,target,1b
