SUBJID,PARTNER,CONTRAST,MAPPING,BIN,TargProp,CompProp
S01,diff,foil,Between,-6,0.25,0.125
S01,same,foil,Between,-6,0.25,0.125
S01,diff,test,Between,-6,0.1428571429,0.1428571429
S01,same,test,Between,-6,0,0.1428571429
S01,diff,foil,Between,-5,0.25,0.125
S01,same,foil,Between,-5,0.25,0.125
S01,diff,test,Between,-5,0.1428571429,0.1428571429
S01,same,test,Between,-5,0.125,0.125
S01,diff,foil,Between,-4,0.25,0.125
S01,same,foil,Between,-4,0.25,0.125
S01,diff,test,Between,-4,0.1666666667,0.1666666667
S01,same,test,Between,-4,0.125,0.125
S01,diff,foil,Between,-3,0.25,0
S01,same,foil,Between,-3,0.3333333333,0.1111111111
S01,diff,test,Between,-3,0.3333333333,0.1666666667
S01,same,test,Between,-3,0,0.3333333333
S01,diff,foil,Between,-2,0.25,0.125
S01,same,foil,Between,-2,0.4285714286,0.2857142857
S01,diff,test,Between,-2,0.375,0.125
S01,same,test,Between,-2,0.2857142857,0.2857142857
S01,diff,foil,Between,-1,0.375,0.25
S01,same,foil,Between,-1,0.5,0.25
S01,diff,test,Between,-1,0.4285714286,0.1428571429
S01,same,test,Between,-1,0.5,0.3333333333
S01,diff,foil,Between,1,0.5,0.375
S01,same,foil,Between,1,0.375,0.375
S01,diff,test,Between,1,0.4444444444,0.2222222222
S01,same,test,Between,1,0.6666666667,0.3333333333
S01,diff,foil,Between,2,0.375,0.5
S01,same,foil,Between,2,0.375,0.375
S01,diff,test,Between,2,0.25,0.5
S01,same,test,Between,2,0.7142857143,0.2857142857
S01,diff,foil,Between,3,0.5,0.375
S01,same,foil,Between,3,0.375,0.375
S01,diff,test,Between,3,0.25,0.625
S01,same,test,Between,3,0.8571428571,0.1428571429
S01,diff,foil,Between,4,0.5714285714,0.2857142857
S01,same,foil,Between,4,0.5,0.25
S01,diff,test,Between,4,0.25,0.625
S01,same,test,Between,4,0.2857142857,0.7142857143
S01,diff,foil,Between,5,0.6666666667,0.1666666667
S01,same,foil,Between,5,0.625,0.25
S01,diff,test,Between,5,0.25,0.625
S01,same,test,Between,5,0.4285714286,0.5714285714
S01,diff,foil,Between,6,0.7142857143,0.1428571429
S01,same,foil,Between,6,0.625,0.25
S01,diff,test,Between,6,0.25,0.625
S01,same,test,Between,6,0.25,0.75
S01,diff,foil,Between,7,0.7142857143,0.1428571429
S01,same,foil,Between,7,0.75,0.25
S01,diff,test,Between,7,0.25,0.75
S01,same,test,Between,7,0.25,0.75
S01,diff,foil,Between,8,0.7142857143,0.1428571429
S01,same,foil,Between,8,0.7142857143,0.2857142857
S01,diff,test,Between,8,0.3333333333,0.6666666667
S01,same,test,Between,8,0.1666666667,0.8333333333
S01,diff,foil,Between,9,0.7142857143,0.1428571429
S01,same,foil,Between,9,0.8333333333,0.1666666667
S01,diff,test,Between,9,0.4285714286,0.5714285714
S01,same,test,Between,9,0.5714285714,0.4285714286
S01,diff,foil,Between,10,0.6,0.2
S01,same,foil,Between,10,1,0
S01,diff,test,Between,10,0.5714285714,0.4285714286
S01,same,test,Between,10,0.625,0.375
S01,diff,foil,Between,11,0.6,0.2
S01,same,foil,Between,11,1,0
S01,diff,test,Between,11,0.4285714286,0.5714285714
S01,same,test,Between,11,0.625,0.375
S01,diff,foil,Between,12,1,0
S01,same,foil,Between,12,1,0
S01,diff,test,Between,12,0.7142857143,0.2857142857
S01,same,test,Between,12,0.8571428571,0.1428571429
S01,diff,foil,Between,13,1,0
S01,same,foil,Between,13,1,0
S01,diff,test,Between,13,0.8571428571,0.1428571429
S01,same,test,Between,13,1,0
S01,diff,foil,Between,14,1,0
S01,same,foil,Between,14,1,0
S01,diff,test,Between,14,0.7142857143,0.2857142857
S01,same,test,Between,14,0.8,0.2
S01,diff,foil,Between,15,1,0
S01,same,foil,Between,15,1,0
S01,diff,test,Between,15,0.8333333333,0.1666666667
S01,same,test,Between,15,0.8,0.2
S01,diff,foil,Between,16,1,0
S01,same,foil,Between,16,1,0
S01,diff,test,Between,16,0.8,0.2
S01,same,test,Between,16,0.75,0.25
S01,diff,foil,Between,17,1,0
S01,same,foil,Between,17,1,0
S01,diff,test,Between,17,1,0
S01,same,test,Between,17,0.5,0.5
S01,diff,foil,Between,18,1,0
S01,same,foil,Between,18,1,0
S01,diff,test,Between,18,1,0
S01,same,test,Between,18,0.5,0.5
S02,diff,foil,Within,-6,0,0
S02,same,foil,Within,-6,0.375,0
S02,diff,test,Within,-6,0,0.125
S02,same,test,Within,-6,0,0
S02,diff,foil,Within,-5,0,0
S02,same,foil,Within,-5,0.375,0
S02,diff,test,Within,-5,0,0.1428571429
S02,same,test,Within,-5,0,0
S02,diff,foil,Within,-4,0,0
S02,same,foil,Within,-4,0.375,0
S02,diff,test,Within,-4,0,0.1666666667
S02,same,test,Within,-4,0,0
S02,diff,foil,Within,-3,0,0
S02,same,foil,Within,-3,0.4285714286,0
S02,diff,test,Within,-3,0,0.2857142857
S02,same,test,Within,-3,0,0
S02,diff,foil,Within,-2,0,0
S02,same,foil,Within,-2,0.375,0.25
S02,diff,test,Within,-2,0,0.2857142857
S02,same,test,Within,-2,0.125,0
S02,diff,foil,Within,-1,0.2857142857,0.1428571429
S02,same,foil,Within,-1,0.375,0.25
S02,diff,test,Within,-1,0.125,0.375
S02,same,test,Within,-1,0.3333333333,0
S02,diff,foil,Within,1,0.5,0.25
S02,same,foil,Within,1,0.5,0.25
S02,diff,test,Within,1,0.125,0.5
S02,same,test,Within,1,0.75,0.25
S02,diff,foil,Within,2,0.4285714286,0.4285714286
S02,same,foil,Within,2,0.625,0.25
S02,diff,test,Within,2,0.25,0.5
S02,same,test,Within,2,0.4285714286,0.5714285714
S02,diff,foil,Within,3,0.4285714286,0.4285714286
S02,same,foil,Within,3,0.6666666667,0.3333333333
S02,diff,test,Within,3,0.2857142857,0.5714285714
S02,same,test,Within,3,0.375,0.625
S02,diff,foil,Within,4,0.3333333333,0.5
S02,same,foil,Within,4,0.5714285714,0.4285714286
S02,diff,test,Within,4,0.25,0.625
S02,same,test,Within,4,0.2857142857,0.7142857143
S02,diff,foil,Within,5,0.5,0.5
S02,same,foil,Within,5,0.7142857143,0.2857142857
S02,diff,test,Within,5,0.4285714286,0.4285714286
S02,same,test,Within,5,0.375,0.625
S02,diff,foil,Within,6,0.5714285714,0.4285714286
S02,same,foil,Within,6,0.8571428571,0.1428571429
S02,diff,test,Within,6,0.4285714286,0.4285714286
S02,same,test,Within,6,0.4285714286,0.5714285714
S02,diff,foil,Within,7,0.7142857143,0.2857142857
S02,same,foil,Within,7,0.8571428571,0.1428571429
S02,diff,test,Within,7,0.5,0.375
S02,same,test,Within,7,0.3333333333,0.6666666667
